Time	<B Du Df Db Dr Dl Gu Gf Gb Gr Gl>		Action	Score
58	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	142
59	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	141
60	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	140
61	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	139
62	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	138
63	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	137
64	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	136
65	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	135
66	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	134
67	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	133
68	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	132
69	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	131
70	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	130
71	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	129
72	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	128
73	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	127
74	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	126
75	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	125
76	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	124
77	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	123
78	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	122
79	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	121
80	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	120
81	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	119
82	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	118
83	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	117
84	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	116
85	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	115
86	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	114
87	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	113
88	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	112
89	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	111
90	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	110
91	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	109
92	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	108
93	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	107
94	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	106
95	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	105
96	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	104
97	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	103
98	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	102
99	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	101
100	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	100
101	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	99
102	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	98
103	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	97
104	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	96
105	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	95
106	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	94
107	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	93
108	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	92
109	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	91
110	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	90
111	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	89
112	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	88
113	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	87
114	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	86
115	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	85
116	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	84
117	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	83
118	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	82
119	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	81
120	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	80
121	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	79
122	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	78
123	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	77
124	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	76
125	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	75
126	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	74
127	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	73
128	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	72
129	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	71
130	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	70
131	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	69
132	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	68
133	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	67
134	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	66
135	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	65
136	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	64
137	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	63
138	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	62
139	< 0  0  0  0  0  0  0  0  0  0  1 >		Turn Right	61
140	< 0  0  0  0  0  0  0  1  0  0  0 >		Go forward	60
141	< 0  0  0  0  0  0  1  0  0  0  0 >		Turn Off	59
